название,куплено,сумма_руб,категория,весовой,бренд,фасовка,жирность,не_хватает,запрос,магазины
"ХУГАРДЕН 0,44Л 4,9%",6,548,Пиво,,,0.44л,"4,9%",бренд,"пиво 4,9% ""ХУГАРДЕН 0,44Л 4,9%"" какая марка",Глобус
АНТИФРИЗ SINTEC G11,6,4810,Автотовары,,,,,"бренд, фасовка","автотовары ""АНТИФРИЗ SINTEC G11"" производитель вес упаковки",Глобус
DEL.МАРМЕЛАД АССОРТИ ЖЕЛ.500Г,6,775,Выпечка и сладкое,,,0.5кг,,бренд,"выпечка и сладкое ""DEL.МАРМЕЛАД АССОРТИ ЖЕЛ.500Г"" какая марка",Продторг
ОГУРЕЦ 450 ГР ШТУКА,6,1095,Овощи,,,,,"бренд, фасовка","овощи ""ОГУРЕЦ 450 ГР ШТУКА"" производитель вес упаковки",Глобус
А.РОС.СЫРОК ТВ.ГЛ.М.ШОК.ВАН.,6,234,Творог,,,,,"бренд, фасовка, жирность","творог ""А.РОС.СЫРОК ТВ.ГЛ.М.ШОК.ВАН."" производитель вес упаковки",Продторг
ТЕНД.ТУШ.ЦЫП.БР.1С О,6,1746,,да,,,,категория,"""ТЕНД.ТУШ.ЦЫП.БР.1С О"" что за товар",Продторг
ЯШКИНО ВАФЛИ ГЛ.С ОР,6,540,Выпечка и сладкое,,,,,"бренд, фасовка","выпечка и сладкое ""ЯШКИНО ВАФЛИ ГЛ.С ОР"" производитель вес упаковки",Продторг
ПИВО ФРАНКФ.ПИЛЬЗЕНЕ,6,513,Пиво,,,,,"бренд, фасовка, жирность","пиво ""ПИВО ФРАНКФ.ПИЛЬЗЕНЕ"" производитель вес упаковки",Продторг
САХАР ТРОСТ 900Г,6,1265,Сахар и соль,,,0.9кг,,бренд,"сахар и соль ""САХАР ТРОСТ 900Г"" какая марка",Глобус
ПЕРЕЦ ЧИЛИ 60ГР ШТ,6,1024,Овощи,,,,,"бренд, фасовка","овощи ""ПЕРЕЦ ЧИЛИ 60ГР ШТ"" производитель вес упаковки",Глобус
ХАЙНЦ ТОМАТНЫЙ 800Г,6,1250,Овощи,,,0.8кг,,бренд,"овощи ""ХАЙНЦ ТОМАТНЫЙ 800Г"" какая марка",Глобус
УКРОП ПРЕМИУМ ШТ,6,567,Овощи,,,,,"бренд, фасовка","овощи ""УКРОП ПРЕМИУМ ШТ"" производитель вес упаковки",Глобус
МОР.МАГНАТ ТРЮФ.72Г,6,652,Заморозка,,,0.072кг,,бренд,"заморозка ""МОР.МАГНАТ ТРЮФ.72Г"" какая марка",Глобус
ЯЙЦО КУР СМЕТС0 10ШТ,6,2128,Яйцо,,,10шт,,бренд,"яйцо ""ЯЙЦО КУР СМЕТС0 10ШТ"" какая марка",Глобус
ШОКОЛ РИТ ИЗ ПЕРУ100,6,2440,,,,,,"категория, бренд, фасовка","""ШОКОЛ РИТ ИЗ ПЕРУ100"" что за товар",Глобус
ПЕР.СВ.ГРУДКА Б/КОЖИ ОХЛ.ПОД1КГ,6,1563,,да,,,,категория,"""ПЕР.СВ.ГРУДКА Б/КОЖИ ОХЛ.ПОД1КГ"" что за товар",Пятёрочка
ЯЙЦО С1 10 ШТ,6,1392,Яйцо,,,10шт,,бренд,"яйцо ""ЯЙЦО С1 10 ШТ"" какая марка",Глобус
ВЕТЧ.ПО-ЧЕРКИЗ.200Г,6,1470,,,,,,"категория, бренд, фасовка","""ВЕТЧ.ПО-ЧЕРКИЗ.200Г"" что за товар",Глобус
МАСЛО СЕЛО ЗЕЛ82%175,6,896,,,Село Зелёное,,82%,"категория, фасовка",Село Зелёное 82% вес упаковки грамм купить,Глобус
ПИВО PILSN.URQ.СВ.Ж/Б 0.5Л,6,1120,Пиво,,,0.5л,,"бренд, жирность","пиво ""ПИВО PILSN.URQ.СВ.Ж/Б 0.5Л"" какая марка",Пятёрочка
НАГГЕТ.КУР.ХРУС 300Г,6,2290,Птица,,,0.3кг,,бренд,"птица ""НАГГЕТ.КУР.ХРУС 300Г"" какая марка",Глобус
СЫР ЧЕЧИЛ СПАГ. 100Г,6,824,Сыр,,,0.1кг,,"бренд, жирность","сыр ""СЫР ЧЕЧИЛ СПАГ. 100Г"" какая марка",Глобус
МОР.БРЮНЕТКА 74Г,6,738,Заморозка,,,0.074кг,,бренд,"заморозка ""МОР.БРЮНЕТКА 74Г"" какая марка",Глобус
КОРМ Д/ЧЕРЕПАХ 15Г,6,1388,Зоотовары,,,0.015кг,,бренд,"зоотовары ""КОРМ Д/ЧЕРЕПАХ 15Г"" какая марка",Глобус
GL.VILLAGE ОГУРЦЫ ПЧЕЛООП.600Г,6,1007,Овощи,,,0.6кг,,бренд,"овощи ""GL.VILLAGE ОГУРЦЫ ПЧЕЛООП.600Г"" какая марка",Пятёрочка
М КР-БР ЛАК КУБ 90Г,6,600,,,,,,"категория, бренд, фасовка","""М КР-БР ЛАК КУБ 90Г"" что за товар",Глобус
ЧАЙ В АССОРТИМЕНТЕ,6,280,Чай и кофе,,,,,"бренд, фасовка","чай и кофе ""ЧАЙ В АССОРТИМЕНТЕ"" производитель вес упаковки",Глобус
МАК ИЗД BARILLA 400Г,6,2166,,,,,,"категория, бренд, фасовка","""МАК ИЗД BARILLA 400Г"" что за товар",Глобус
CROIS.ХЛЕБЦЫ ТОН.РЖАНЫЕ 200Г,6,1156,Хлеб,,,0.2кг,,бренд,"хлеб ""CROIS.ХЛЕБЦЫ ТОН.РЖАНЫЕ 200Г"" какая марка",Пятёрочка
ЯЙЦО КУР СИНЯВ.С0 30,6,2659,Яйцо,,,,,"бренд, фасовка","яйцо ""ЯЙЦО КУР СИНЯВ.С0 30"" производитель вес упаковки",Глобус
ВИНО КЬЯН.КАЗА ЛОР.К.СУХ.0.75Л,6,4194,Вино,,,0.75л,,"бренд, жирность","вино ""ВИНО КЬЯН.КАЗА ЛОР.К.СУХ.0.75Л"" какая марка",Продторг
НАПИТОК COCA-COLA ГАЗ.ПЭТ 1.0Л,6,714,Соки и напитки,,,1л,,бренд,"соки и напитки ""НАПИТОК COCA-COLA ГАЗ.ПЭТ 1.0Л"" какая марка",Продторг
ВИНО АЛПРЕСКО ПРОС.И.Б.Б.0.75Л,6,4794,Вино,,,0.75л,,"бренд, жирность","вино ""ВИНО АЛПРЕСКО ПРОС.И.Б.Б.0.75Л"" какая марка",Продторг
ВИНО VIN.VER.PER.VIN.Б.СУХ.0.75,6,3594,Вино,,,,,"бренд, фасовка, жирность","вино ""ВИНО VIN.VER.PER.VIN.Б.СУХ.0.75"" производитель вес упаковки",Продторг
"КОРОНА ЭКСТР 0,355Л",6,930,,,,,,"категория, бренд, фасовка","""КОРОНА ЭКСТР 0,355Л"" что за товар",Глобус
"МОЛОКО КОЗЬЕ 450 МЛ,ШТ",5,1743,Молоко,,,0.45л,,"бренд, жирность","молоко ""МОЛОКО КОЗЬЕ 450 МЛ,ШТ"" какая марка",ВкусВилл
МОЛОКО КОЗЬЕ 500Г,5,2131,Молоко,,,0.5кг,,"бренд, жирность","молоко ""МОЛОКО КОЗЬЕ 500Г"" какая марка",Глобус
МАССА ТВ.ИЗ.23 100Г,5,499,Творог,,,0.1кг,,"бренд, жирность","творог ""МАССА ТВ.ИЗ.23 100Г"" какая марка",Глобус
МАНГО,5,819,,,,,,"категория, бренд, фасовка","""МАНГО"" что за товар",Глобус
"ЗЕФИР ВАНИЛЬНЫЙ, 250Г,ШТ",5,525,Выпечка и сладкое,,,0.25кг,,бренд,"выпечка и сладкое ""ЗЕФИР ВАНИЛЬНЫЙ, 250Г,ШТ"" какая марка",ВкусВилл
САХАР DANSUKKER ТЕМН ТРОСТ КУСКОВ 500Г,5,1277,Сахар и соль,,,0.5кг,,бренд,"сахар и соль ""САХАР DANSUKKER ТЕМН ТРОСТ КУСКОВ 500Г"" какая марка",Лента
МУКА РИСОВАЯ 500Г,5,387,Мука,,,0.5кг,,бренд,"мука ""МУКА РИСОВАЯ 500Г"" какая марка",Глобус
КРЕМ-СЫР LABNE 200,5,443,Сыр,,,0.2кг,,"бренд, жирность","сыр ""КРЕМ-СЫР LABNE 200"" какая марка",Глобус
КРАХМАЛ КУКУР 400Г,5,432,Птица,,,0.4кг,,бренд,"птица ""КРАХМАЛ КУКУР 400Г"" какая марка",Глобус
ГРЕЦ ОРЕХ СЕМУШКА110,5,1409,Сухофрукты и орехи,,,0.11кг,,бренд,"сухофрукты и орехи ""ГРЕЦ ОРЕХ СЕМУШКА110"" какая марка",Глобус
ХЛЕБ FAZER БУРЖЕ ГОЛЛАНДСКИЙ НАР 350Г,5,495,Хлеб,,,0.35кг,,бренд,"хлеб ""ХЛЕБ FAZER БУРЖЕ ГОЛЛАНДСКИЙ НАР 350Г"" какая марка",Лента
"ВИНО МУСКАТ БЛ 0,75Л",5,3879,Вино,,,0.75л,,"бренд, жирность","вино ""ВИНО МУСКАТ БЛ 0,75Л"" какая марка",Глобус
МЯТА ГЛОБУС 50 ГР ШТ,5,570,,,Глобус,,,"категория, фасовка",Глобус вес упаковки грамм купить,Глобус
ХЛЕБ ЭСТОНСКИЙ 430ГР,5,273,Хлеб,,,,,"бренд, фасовка","хлеб ""ХЛЕБ ЭСТОНСКИЙ 430ГР"" производитель вес упаковки",Глобус
"ВИНО СИК РЕЗЕРВ 0,75",5,3760,Вино,,,0.75л,,"бренд, жирность","вино ""ВИНО СИК РЕЗЕРВ 0,75"" какая марка",Глобус
ЧЕРНАЯ СМОРОДИНА ВЕС,5,1014,,да,,,,категория,"""ЧЕРНАЯ СМОРОДИНА ВЕС"" что за товар",Глобус
МАК ИЗД ТАЛЬЯТЕЛ500Г,5,1403,,,,,,"категория, бренд, фасовка","""МАК ИЗД ТАЛЬЯТЕЛ500Г"" что за товар",Глобус
СЕМЕЧК.ОЧИЩ.САБР.500,5,586,,,,,,"категория, бренд, фасовка","""СЕМЕЧК.ОЧИЩ.САБР.500"" что за товар",Глобус
МУКА ГАРНЕЦ ЛЬНЯН500,5,525,Мука,,,0.5кг,,бренд,"мука ""МУКА ГАРНЕЦ ЛЬНЯН500"" какая марка",Глобус
ПАТОКА РЖАН140ГР,5,588,,,,,,"категория, бренд, фасовка","""ПАТОКА РЖАН140ГР"" что за товар",Глобус
МЯТА ЛОТОК 50 ГР,5,700,,,,,,"категория, бренд, фасовка","""МЯТА ЛОТОК 50 ГР"" что за товар",Глобус
БАТАР VARTA 2ШТ,5,1137,Бытовая химия и гигиена,,,2шт,,бренд,"бытовая химия и гигиена ""БАТАР VARTA 2ШТ"" какая марка",Глобус
САЛФ ВЛ ГЛ МИН 72ШТ,5,343,,,,,,"категория, бренд, фасовка","""САЛФ ВЛ ГЛ МИН 72ШТ"" что за товар",Глобус
ОГУРЦЫ NOVIKOV 600Г,5,1373,Овощи,,,0.6кг,,бренд,"овощи ""ОГУРЦЫ NOVIKOV 600Г"" какая марка",Глобус
ТЮЛЬПАНЫ 5ШТ,5,3516,,,,,,"категория, бренд, фасовка","""ТЮЛЬПАНЫ 5ШТ"" что за товар",Глобус
МАСЛО СЛ ТЫС ОЗ400Г,5,1997,Масло сливочное,,,0.4кг,,"бренд, жирность","масло сливочное ""МАСЛО СЛ ТЫС ОЗ400Г"" какая марка",Глобус
"ХЕЙНЕКЕН СТЕК 0,47Л",5,256,,,,,,"категория, бренд, фасовка","""ХЕЙНЕКЕН СТЕК 0,47Л"" что за товар",Глобус
"ЙОГ МАМАЛ КЛУБН 2,5%",5,236,,,,,"2,5%","категория, бренд, фасовка","2,5% ""ЙОГ МАМАЛ КЛУБН 2,5%"" производитель вес упаковки",Глобус
"ЙОГ МАМАЛ ПЕР 2,5%",5,272,,,,,"2,5%","категория, бренд, фасовка","2,5% ""ЙОГ МАМАЛ ПЕР 2,5%"" производитель вес упаковки",Глобус
"ПИВ СТАРОПРАМ 0,45",5,294,Пиво,,,0.45л,,"бренд, жирность","пиво ""ПИВ СТАРОПРАМ 0,45"" какая марка",Глобус
ТАПОЧКИ МУЖ,5,2702,,,,,,"категория, бренд, фасовка","""ТАПОЧКИ МУЖ"" что за товар",Глобус
БЕЛОК ГРОВО ОХЛ 330Г,5,736,,,,,,"категория, бренд, фасовка","""БЕЛОК ГРОВО ОХЛ 330Г"" что за товар",Глобус
"МАСЛО СЛИВ ГЛОБ 82,5",5,2023,Масло сливочное,,Глобус,,,"фасовка, жирность",Глобус масло сливочное вес упаковки грамм купить,Глобус
МУКА РЖАНАЯ ОБДИР1КГ,5,442,Мука,,,1кг,,бренд,"мука ""МУКА РЖАНАЯ ОБДИР1КГ"" какая марка",Глобус
*BRAWL ST.ИГР.БРАВЛ Z1479,5,0,,,,,,"категория, бренд, фасовка","""*BRAWL ST.ИГР.БРАВЛ Z1479"" что за товар",Перекрёсток
"МОЛОКО 3,4-4,5%1900Г",5,1671,Молоко,,,1.9кг,"4,5%",бренд,"молоко 4,5% ""МОЛОКО 3,4-4,5%1900Г"" какая марка",Глобус
ГРЕЧКА ЯДРИЦА 900Г,5,954,Крупы и макароны,,,0.9кг,,бренд,"крупы и макароны ""ГРЕЧКА ЯДРИЦА 900Г"" какая марка",Глобус
ТЕНД.САХАР-ПЕСОК/САХАР БЕЛ.1КГ,5,1523,Сахар и соль,,,1кг,,бренд,"сахар и соль ""ТЕНД.САХАР-ПЕСОК/САХАР БЕЛ.1КГ"" какая марка","Пятёрочка, Перекрёсток"
Т/Б ФАМИЛИЯ 3СЛ 8РУЛ,5,1348,,,,,,"категория, бренд, фасовка","""Т/Б ФАМИЛИЯ 3СЛ 8РУЛ"" что за товар",Глобус
МОРОЖ.ЛЕНИНГРАД.80Г,5,481,Заморозка,,,0.08кг,,бренд,"заморозка ""МОРОЖ.ЛЕНИНГРАД.80Г"" какая марка",Глобус
СОЛЬ ПОВАРЕННАЯ ПИЩ.ЭКСТРА/МЕЛКАЯ ПЛЕНКА 1КГ,5,1324,Сахар и соль,,,1кг,,бренд,"сахар и соль ""СОЛЬ ПОВАРЕННАЯ ПИЩ.ЭКСТРА/МЕЛКАЯ ПЛЕНКА 1КГ"" какая марка",Дикси
НАП.ПИВ.ХУГАРДЕН БЕЛ.СТ/Б 0.44Л,5,374,Пиво,,,0.44л,,"бренд, жирность","пиво ""НАП.ПИВ.ХУГАРДЕН БЕЛ.СТ/Б 0.44Л"" какая марка","Перекрёсток, Пятёрочка"
ПЛЕНКА ПИЩ PATERRA,5,1496,,,,,,"категория, бренд, фасовка","""ПЛЕНКА ПИЩ PATERRA"" что за товар",Глобус
ПЕЛЬМ.ДОМ.СВ/Г.800Г,5,2446,Полуфабрикаты,,,0.8кг,,бренд,"полуфабрикаты ""ПЕЛЬМ.ДОМ.СВ/Г.800Г"" какая марка",Глобус
"НАП АБР ДЖ ЗОЛ 0,75Л",5,1179,,,,,,"категория, бренд, фасовка","""НАП АБР ДЖ ЗОЛ 0,75Л"" что за товар",Глобус
БАТАР. ГЛОБУС,5,1684,Бытовая химия и гигиена,,Глобус,,,фасовка,Глобус бытовая химия и гигиена вес упаковки грамм купить,Глобус
ЧАЙ ЭРЛ ГРЕЙ 200Г,5,1631,Чай и кофе,,,0.2кг,,бренд,"чай и кофе ""ЧАЙ ЭРЛ ГРЕЙ 200Г"" какая марка",Глобус
"ПИВО ХАМОВ ПШЕН 0,45",5,313,Пиво,,,0.45л,,"бренд, жирность","пиво ""ПИВО ХАМОВ ПШЕН 0,45"" какая марка",Глобус
СМЕТ.БРЕСТ-ЛИТ300Г,5,538,Сметана,,,0.3кг,,"бренд, жирность","сметана ""СМЕТ.БРЕСТ-ЛИТ300Г"" какая марка",Глобус
"ВИНО БЕЙРАЛ БЛ 1,5Л",5,4627,Вино,,,1.5л,,"бренд, жирность","вино ""ВИНО БЕЙРАЛ БЛ 1,5Л"" какая марка",Глобус
ЛАМПА ОНЛАЙТ LED,5,1529,,,,,,"категория, бренд, фасовка","""ЛАМПА ОНЛАЙТ LED"" что за товар",Глобус
ШАМПИНЬОНЫ 400 ГР ШТ,5,818,Овощи,,,,,"бренд, фасовка","овощи ""ШАМПИНЬОНЫ 400 ГР ШТ"" производитель вес упаковки",Глобус
ШОКОЛ 81% КАКАО 100Г,5,1650,Чай и кофе,,,0.1кг,81%,бренд,"чай и кофе 81% ""ШОКОЛ 81% КАКАО 100Г"" какая марка",Глобус
ЙОГУРТ ГРЕЧ TEOS НАТ,5,311,Йогурт,,,,,"бренд, фасовка, жирность","йогурт ""ЙОГУРТ ГРЕЧ TEOS НАТ"" производитель вес упаковки",Глобус
ЯЙЦО КУР СМЕТ С1 30Ш,5,1840,Яйцо,,,,,"бренд, фасовка","яйцо ""ЯЙЦО КУР СМЕТ С1 30Ш"" производитель вес упаковки",Глобус
СЫР КАМАМБ ПРЕЗИДЕНТ,5,1108,Сыр,,President,,,"фасовка, жирность",President сыр вес упаковки грамм купить,Глобус
ЯЙЦО ПРАКСИС С1 20ШТ,5,1659,Яйцо,,,20шт,,бренд,"яйцо ""ЯЙЦО ПРАКСИС С1 20ШТ"" какая марка",Глобус
ВЕТ.ДЛЯ ЗАВ.НАР.190Г,5,1271,,,,,,"категория, бренд, фасовка","""ВЕТ.ДЛЯ ЗАВ.НАР.190Г"" что за товар",Глобус
А.РОС.СЫРОК ТВ.ГЛ.ТЕМ.Ш.ВАН.50Г,5,400,Творог,,,0.05кг,,"бренд, жирность","творог ""А.РОС.СЫРОК ТВ.ГЛ.ТЕМ.Ш.ВАН.50Г"" какая марка",Пятёрочка
ТОМ ДАГЕСТАН ВЕС,5,1420,,да,,,,категория,"""ТОМ ДАГЕСТАН ВЕС"" что за товар",Глобус
САЛАТ ЦЕЗАРЬ,5,1042,Овощи,,,,,"бренд, фасовка","овощи ""САЛАТ ЦЕЗАРЬ"" производитель вес упаковки",Глобус
СЫР БРИ ПРЕЗИД. 200Г,5,2349,Сыр,,President,0.2кг,,жирность,President сыр жирность процент,Глобус
СЫР СЛ НАТУРА400Г,5,2059,Сыр,,,0.4кг,,"бренд, жирность","сыр ""СЫР СЛ НАТУРА400Г"" какая марка",Глобус
GL.VIL.SEL.ОГУРЦЫ КОРН.ПР.300Г,5,1199,Овощи,,,0.3кг,,бренд,"овощи ""GL.VIL.SEL.ОГУРЦЫ КОРН.ПР.300Г"" какая марка",Пятёрочка
СМЕТАНА ПОРЦ 30Г,5,294,Сметана,,,0.03кг,,"бренд, жирность","сметана ""СМЕТАНА ПОРЦ 30Г"" какая марка",Глобус
ХЛ БОРОДИН В УП 400Г,5,413,,,,,,"категория, бренд, фасовка","""ХЛ БОРОДИН В УП 400Г"" что за товар",Глобус
ЩАВЕЛЬ ГЛОБУС 100ГРШ,5,897,,,Глобус,,,"категория, фасовка",Глобус вес упаковки грамм купить,Глобус
*Ч.ЛИНИЯ МОРОЖ.РОССИЙС.ЭСК.ПЛ80Г,5,800,Заморозка,,,0.08кг,,бренд,"заморозка ""*Ч.ЛИНИЯ МОРОЖ.РОССИЙС.ЭСК.ПЛ80Г"" какая марка",Пятёрочка
РИТ СП КАКАО МУСС100,5,2242,Чай и кофе,,,0.1кг,,бренд,"чай и кофе ""РИТ СП КАКАО МУСС100"" какая марка",Глобус
МОР.КР-БР.КАРАМ.70Г,5,550,Заморозка,,,0.07кг,,бренд,"заморозка ""МОР.КР-БР.КАРАМ.70Г"" какая марка",Глобус
AQUAMENU ТЕРРАМИКС60,5,2228,,,,,,"категория, бренд, фасовка","""AQUAMENU ТЕРРАМИКС60"" что за товар",Глобус
СЫР КАМАМБЕР 125Г,5,1059,Сыр,,,0.125кг,,"бренд, жирность","сыр ""СЫР КАМАМБЕР 125Г"" какая марка",Глобус
СУП 300МЛ,5,1095,,,,,,"категория, бренд, фасовка","""СУП 300МЛ"" что за товар",Глобус
ЕШЬ ХОР.ЯЙЦА КУР.ПИЩ.СТ.СО 10ШТ,5,978,Яйцо,,,10шт,,бренд,"яйцо ""ЕШЬ ХОР.ЯЙЦА КУР.ПИЩ.СТ.СО 10ШТ"" какая марка",Пятёрочка
ШАРЛ.ПАСТИЛА БЕЛЕВ.КЛ.Б/САХ100Г,5,1130,,,,,,"категория, бренд, фасовка","""ШАРЛ.ПАСТИЛА БЕЛЕВ.КЛ.Б/САХ100Г"" что за товар",Пятёрочка
ГЕЛЬ Д/ПОС ЛИМОН 1Л,4,1069,Фрукты и ягоды,,,1л,,бренд,"фрукты и ягоды ""ГЕЛЬ Д/ПОС ЛИМОН 1Л"" какая марка",Глобус
БУЛГУР МИСТРАЛЬ 500Г,4,606,Крупы и макароны,,,0.5кг,,бренд,"крупы и макароны ""БУЛГУР МИСТРАЛЬ 500Г"" какая марка",Глобус
ЖИДКОСТЬ Д/РОЗЖИГА,4,424,,,,,,"категория, бренд, фасовка","""ЖИДКОСТЬ Д/РОЗЖИГА"" что за товар",Глобус
СОДА ЗЕРНОСТАНДАРТ,4,225,,,,,,"категория, бренд, фасовка","""СОДА ЗЕРНОСТАНДАРТ"" что за товар",Глобус
"ЛУКУМ С КЛЮКВОЙ,ШТ",4,360,,,,,,"категория, бренд, фасовка","""ЛУКУМ С КЛЮКВОЙ,ШТ"" что за товар",ВкусВилл
ЛЕДЕНЦЫ CHARLES BERGER АП/ЛИМ/Ч.СМОР200Г,4,648,Выпечка и сладкое,,,0.2кг,,бренд,"выпечка и сладкое ""ЛЕДЕНЦЫ CHARLES BERGER АП/ЛИМ/Ч.СМОР200Г"" какая марка",Лента
ТВОРОГ КИРЖАЧСКИЙ МЗ С ВАР БРУСНИКА 270Г,4,496,Творог,,,0.27кг,,"бренд, жирность","творог ""ТВОРОГ КИРЖАЧСКИЙ МЗ С ВАР БРУСНИКА 270Г"" какая марка",Лента
ПРОВАНСКИЕ ТРАВЫ 7Г,4,232,,,,,,"категория, бренд, фасовка","""ПРОВАНСКИЕ ТРАВЫ 7Г"" что за товар",Глобус
ШОК РИТ ТЕМ ОРЕХ100,4,716,Сухофрукты и орехи,,,0.1кг,,бренд,"сухофрукты и орехи ""ШОК РИТ ТЕМ ОРЕХ100"" какая марка",Глобус
ГРЕЧКА МИСТРАЛЬ 900Г,4,652,Крупы и макароны,,,0.9кг,,бренд,"крупы и макароны ""ГРЕЧКА МИСТРАЛЬ 900Г"" какая марка",Глобус
КРУПА ПЕРЛОВАЯ 900Г,4,141,,,,,,"категория, бренд, фасовка","""КРУПА ПЕРЛОВАЯ 900Г"" что за товар",Глобус
СР.М.МУСК.ИЗВ.500 МЛ,4,694,,,,,,"категория, бренд, фасовка","""СР.М.МУСК.ИЗВ.500 МЛ"" что за товар",Глобус
БАТАРЕЙКА DURACELL,4,1538,Бытовая химия и гигиена,,,,,"бренд, фасовка","бытовая химия и гигиена ""БАТАРЕЙКА DURACELL"" производитель вес упаковки",Глобус
ШОК РИТ МОЛ МИНД100,4,1044,Молоко,,,0.1л,,"бренд, жирность","молоко ""ШОК РИТ МОЛ МИНД100"" какая марка",Глобус
МАЛИНА АРТФРУТ 125,4,1791,Фрукты и ягоды,,,0.125кг,,бренд,"фрукты и ягоды ""МАЛИНА АРТФРУТ 125"" какая марка",Глобус
СОЛОД РЖ ФЕРМ 300Г,4,327,,,,,,"категория, бренд, фасовка","""СОЛОД РЖ ФЕРМ 300Г"" что за товар",Глобус
МАЛЬТА КЛУБКИ 500Г,4,629,,,,,,"категория, бренд, фасовка","""МАЛЬТА КЛУБКИ 500Г"" что за товар",Глобус
САХАР БРАУНИ ПРЕСС,4,720,Сахар и соль,,,,,"бренд, фасовка","сахар и соль ""САХАР БРАУНИ ПРЕСС"" производитель вес упаковки",Глобус
ГОРЧИЦА РУССКАЯ 190Г,4,224,Соусы и приправы,,,0.19кг,,бренд,"соусы и приправы ""ГОРЧИЦА РУССКАЯ 190Г"" какая марка",Глобус
МАСЛО СЛ БЛ450Г,4,1265,Масло сливочное,,,0.45кг,,"бренд, жирность","масло сливочное ""МАСЛО СЛ БЛ450Г"" какая марка",Глобус
МОРОЖ.ВАФ.СТАКАН 100,4,414,Заморозка,,,0.1кг,,бренд,"заморозка ""МОРОЖ.ВАФ.СТАКАН 100"" какая марка",Глобус
РАСКРАСКА КЛАССИК 8В,4,280,,,,,,"категория, бренд, фасовка","""РАСКРАСКА КЛАССИК 8В"" что за товар",Глобус
ПЕЛЬМЕНИ ФИРМЕНН.700,4,1174,Полуфабрикаты,,,,,"бренд, фасовка","полуфабрикаты ""ПЕЛЬМЕНИ ФИРМЕНН.700"" производитель вес упаковки",Глобус
ТОМ АМОРОЗО 500Г,4,1115,,,,,,"категория, бренд, фасовка","""ТОМ АМОРОЗО 500Г"" что за товар",Глобус
МОМЕНТ СУПЕР 14МЛ,4,864,,,,,,"категория, бренд, фасовка","""МОМЕНТ СУПЕР 14МЛ"" что за товар",Глобус
"ЙОГ МАМАЛ АН 2,5%",4,191,,,,,"2,5%","категория, бренд, фасовка","2,5% ""ЙОГ МАМАЛ АН 2,5%"" производитель вес упаковки",Глобус
"ВИНО ВАЛЕ КР 0,75",4,1560,Вино,,,0.75л,,"бренд, жирность","вино ""ВИНО ВАЛЕ КР 0,75"" какая марка",Глобус
АБРИКОС СУШ 500 Г,4,1386,,,,,,"категория, бренд, фасовка","""АБРИКОС СУШ 500 Г"" что за товар",Глобус
ПИЩЕВАЯ ПЛЕНКА,4,938,,,,,,"категория, бренд, фасовка","""ПИЩЕВАЯ ПЛЕНКА"" что за товар",Глобус
"ПИВО ГРОЛШ ЛАГ 0,5Л",4,280,Пиво,,,0.5л,,"бренд, жирность","пиво ""ПИВО ГРОЛШ ЛАГ 0,5Л"" какая марка",Глобус
САХАР ТРОСТНИК 900Г,4,992,Сахар и соль,,,0.9кг,,бренд,"сахар и соль ""САХАР ТРОСТНИК 900Г"" какая марка",Глобус
БЕКОН ВЕНГ.С/К 200Г,4,1437,Колбаса и сосиски,,,0.2кг,,"бренд, жирность","колбаса и сосиски ""БЕКОН ВЕНГ.С/К 200Г"" какая марка",Глобус
ЯЙЦО КУР.ЛЕТО С0 10Ш,4,854,Яйцо,,,,,"бренд, фасовка","яйцо ""ЯЙЦО КУР.ЛЕТО С0 10Ш"" производитель вес упаковки",Глобус
КУРАГА ЭКСТРА 500Г,4,1893,Сухофрукты и орехи,,,0.5кг,,бренд,"сухофрукты и орехи ""КУРАГА ЭКСТРА 500Г"" какая марка",Глобус
"САРАФ.МОЛ.ПАСТ.ДЕТ.2,5% 930МЛ",4,236,Молоко,,,0.93л,"2,5%",бренд,"молоко 2,5% ""САРАФ.МОЛ.ПАСТ.ДЕТ.2,5% 930МЛ"" какая марка",Перекрёсток
ТЕНД.СОЛЬ КРУПНАЯ 1КГ,4,253,Сахар и соль,,,1кг,,бренд,"сахар и соль ""ТЕНД.СОЛЬ КРУПНАЯ 1КГ"" какая марка",Пятёрочка
МАСЛО БР/ЛИТ СЛ400Г,4,2593,,,,,,"категория, бренд, фасовка","""МАСЛО БР/ЛИТ СЛ400Г"" что за товар",Глобус
БАТАР. ТРОФИ,4,872,Бытовая химия и гигиена,,,,,"бренд, фасовка","бытовая химия и гигиена ""БАТАР. ТРОФИ"" производитель вес упаковки",Глобус
АДЖИКА КАВКАЗСК 170Г,4,455,Соусы и приправы,,,0.17кг,,бренд,"соусы и приправы ""АДЖИКА КАВКАЗСК 170Г"" какая марка",Глобус
"ПИВО СТЕЛ АРТУА 0,44",4,338,Пиво,,,0.44л,,"бренд, жирность","пиво ""ПИВО СТЕЛ АРТУА 0,44"" какая марка",Глобус
МУКА MAKFA ГРЕЧ 500Г,4,790,Мука,,,0.5кг,,бренд,"мука ""МУКА MAKFA ГРЕЧ 500Г"" какая марка",Глобус
"ПИВО ХОЛЬСТ СТ 0,45Л",4,264,Пиво,,,0.45л,,"бренд, жирность","пиво ""ПИВО ХОЛЬСТ СТ 0,45Л"" какая марка",Глобус
