название,куплено,сумма_руб,категория,весовой,бренд,фасовка,жирность,не_хватает,запрос,магазины
"ПРАВИЛЬН.МОЛ.2,5% 2Л",9,3147,Молоко,,,2л,"2,5%",бренд,"молоко 2,5% ""ПРАВИЛЬН.МОЛ.2,5% 2Л"" какая марка",Глобус
"ПИВ КРУШОВ СВ 0,45Л",9,571,Пиво,,,0.45л,,"бренд, жирность","пиво ""ПИВ КРУШОВ СВ 0,45Л"" какая марка",Глобус
МАСЛО TAIF 5W40,9,16730,,,,,,"категория, бренд, фасовка","""МАСЛО TAIF 5W40"" что за товар",Глобус
МАССА РАЭ ИЗЮМ 250Г,9,986,Сухофрукты и орехи,,,0.25кг,,бренд,"сухофрукты и орехи ""МАССА РАЭ ИЗЮМ 250Г"" какая марка",Глобус
"СТ.МОЛ.МОЛ.ПАСТ.3,3-6,0% 930МЛ",9,643,Молоко,,,0.93л,"6,0%",бренд,"молоко 6,0% ""СТ.МОЛ.МОЛ.ПАСТ.3,3-6,0% 930МЛ"" какая марка",Пятёрочка
СМЕТАНА СЕЛО ЗЕЛ300Г,9,666,Сметана,,Село Зелёное,0.3кг,,жирность,Село Зелёное сметана жирность процент,Глобус
СВЕТ.МОР.ПЛ.ВАН.МОЛ-,9,461,Заморозка,,Свитлогорье,,,фасовка,Свитлогорье заморозка вес упаковки грамм купить,Продторг
"МАСЛО БР-Л.72,5%180Г",9,1437,,,,,"72,5%","категория, бренд, фасовка","72,5% ""МАСЛО БР-Л.72,5%180Г"" производитель вес упаковки",Глобус
СОЛЬ ИЛЕЦКАЯ К/У 1КГ,9,2490,Сахар и соль,,,1кг,,бренд,"сахар и соль ""СОЛЬ ИЛЕЦКАЯ К/У 1КГ"" какая марка",Глобус
ЗЛАТО ПРАМЕН 0.5Л,9,1333,,,,,,"категория, бренд, фасовка","""ЗЛАТО ПРАМЕН 0.5Л"" что за товар",Глобус
"ПРОСТ.МОЛ.ОТБ.3,4-4,",9,891,Молоко,,Простоквашино,,,"фасовка, жирность",Простоквашино молоко вес упаковки грамм купить,Продторг
